14.4040 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
457.7341 	DATA 	Keypress: s
457.7359 	EXP 	response: autoDraw = False
457.7361 	EXP 	window1: recordFrameIntervals = False
460.6811 	EXP 	response: autoDraw = True
462.3666 	EXP 	window1: recordFrameIntervals = False
462.3684 	DATA 	Keypress: s
462.3701 	EXP 	response: autoDraw = False
462.3703 	EXP 	window1: recordFrameIntervals = False
465.3138 	EXP 	response: autoDraw = True
467.5490 	EXP 	window1: recordFrameIntervals = False
467.5499 	DATA 	Keypress: s
467.5517 	EXP 	response: autoDraw = False
467.5519 	EXP 	window1: recordFrameIntervals = False
470.4965 	EXP 	response: autoDraw = True
472.5313 	EXP 	window1: recordFrameIntervals = False
472.5321 	DATA 	Keypress: s
472.5339 	EXP 	response: autoDraw = False
472.5340 	EXP 	window1: recordFrameIntervals = False
475.4789 	EXP 	response: autoDraw = True
477.1812 	EXP 	window1: recordFrameIntervals = False
477.1821 	DATA 	Keypress: s
477.1839 	EXP 	response: autoDraw = False
477.1840 	EXP 	window1: recordFrameIntervals = False
480.1287 	EXP 	response: autoDraw = True
481.7136 	EXP 	window1: recordFrameIntervals = False
481.7144 	DATA 	Keypress: s
481.7161 	EXP 	response: autoDraw = False
481.7162 	EXP 	window1: recordFrameIntervals = False
484.6612 	EXP 	response: autoDraw = True
487.3790 	EXP 	window1: recordFrameIntervals = False
487.3798 	DATA 	Keypress: s
487.3817 	EXP 	response: autoDraw = False
487.3818 	EXP 	window1: recordFrameIntervals = False
490.3270 	EXP 	response: autoDraw = True
492.0956 	DATA 	Keypress: s
492.7119 	EXP 	window1: recordFrameIntervals = False
492.7144 	EXP 	response: autoDraw = False
492.7146 	EXP 	window1: recordFrameIntervals = False
495.6602 	EXP 	response: autoDraw = True
497.7119 	EXP 	window1: recordFrameIntervals = False
497.7127 	DATA 	Keypress: s
497.7144 	EXP 	response: autoDraw = False
497.7146 	EXP 	window1: recordFrameIntervals = False
500.6589 	EXP 	response: autoDraw = True
503.4454 	EXP 	window1: recordFrameIntervals = False
503.4462 	DATA 	Keypress: s
503.4479 	EXP 	response: autoDraw = False
503.4480 	EXP 	window1: recordFrameIntervals = False
506.3915 	EXP 	response: autoDraw = True
509.2763 	EXP 	window1: recordFrameIntervals = False
509.2771 	DATA 	Keypress: s
509.2790 	EXP 	response: autoDraw = False
509.2791 	EXP 	window1: recordFrameIntervals = False
512.2242 	EXP 	response: autoDraw = True
513.0427 	EXP 	window1: recordFrameIntervals = False
513.0437 	DATA 	Keypress: s
513.0454 	EXP 	response: autoDraw = False
513.0455 	EXP 	window1: recordFrameIntervals = False
515.9905 	EXP 	response: autoDraw = True
518.0589 	DATA 	Keypress: s
518.6761 	EXP 	window1: recordFrameIntervals = False
518.6786 	EXP 	response: autoDraw = False
518.6787 	EXP 	window1: recordFrameIntervals = False
521.6230 	EXP 	response: autoDraw = True
523.2251 	EXP 	window1: recordFrameIntervals = False
523.2260 	DATA 	Keypress: s
523.2277 	EXP 	response: autoDraw = False
523.2282 	EXP 	window1: recordFrameIntervals = False
526.1726 	EXP 	response: autoDraw = True
528.6920 	EXP 	window1: recordFrameIntervals = False
528.6930 	DATA 	Keypress: s
528.6947 	EXP 	response: autoDraw = False
528.6948 	EXP 	window1: recordFrameIntervals = False
531.6384 	EXP 	response: autoDraw = True
535.3222 	EXP 	window1: recordFrameIntervals = False
535.3233 	DATA 	Keypress: s
535.3250 	EXP 	response: autoDraw = False
535.3251 	EXP 	window1: recordFrameIntervals = False
538.2708 	EXP 	response: autoDraw = True
540.5223 	EXP 	window1: recordFrameIntervals = False
540.5232 	DATA 	Keypress: s
540.5249 	EXP 	response: autoDraw = False
540.5250 	EXP 	window1: recordFrameIntervals = False
543.4706 	EXP 	response: autoDraw = True
544.1397 	EXP 	window1: recordFrameIntervals = False
544.1405 	DATA 	Keypress: s
544.1424 	EXP 	response: autoDraw = False
544.1425 	EXP 	window1: recordFrameIntervals = False
545.5541 	DATA 	Keypress: s
547.0865 	EXP 	response: autoDraw = True
548.2053 	EXP 	window1: recordFrameIntervals = False
548.2062 	DATA 	Keypress: s
548.2080 	EXP 	response: autoDraw = False
548.2080 	EXP 	window1: recordFrameIntervals = False
551.1526 	EXP 	response: autoDraw = True
553.1175 	DATA 	Keypress: s
553.7201 	EXP 	window1: recordFrameIntervals = False
553.7225 	EXP 	response: autoDraw = False
553.7227 	EXP 	window1: recordFrameIntervals = False
556.6685 	EXP 	response: autoDraw = True
558.1698 	EXP 	window1: recordFrameIntervals = False
558.1705 	DATA 	Keypress: s
558.1722 	EXP 	response: autoDraw = False
558.1724 	EXP 	window1: recordFrameIntervals = False
561.0687 	DATA 	Keypress: s
561.1178 	EXP 	response: autoDraw = True
563.3857 	EXP 	window1: recordFrameIntervals = False
563.3864 	DATA 	Keypress: s
563.3880 	EXP 	response: autoDraw = False
563.3881 	EXP 	window1: recordFrameIntervals = False
566.3337 	EXP 	response: autoDraw = True
567.0192 	EXP 	window1: recordFrameIntervals = False
567.0200 	DATA 	Keypress: s
567.0219 	EXP 	response: autoDraw = False
567.0221 	EXP 	window1: recordFrameIntervals = False
569.9666 	EXP 	response: autoDraw = True
571.8530 	EXP 	window1: recordFrameIntervals = False
571.8539 	DATA 	Keypress: s
571.8556 	EXP 	response: autoDraw = False
571.8557 	EXP 	window1: recordFrameIntervals = False
574.7999 	EXP 	response: autoDraw = True
575.9850 	EXP 	window1: recordFrameIntervals = False
575.9858 	DATA 	Keypress: s
575.9875 	EXP 	response: autoDraw = False
575.9876 	EXP 	window1: recordFrameIntervals = False
578.9326 	EXP 	response: autoDraw = True
584.1730 	EXP 	window1: recordFrameIntervals = False
584.1739 	DATA 	Keypress: s
584.1756 	EXP 	response: autoDraw = False
584.1757 	EXP 	window1: recordFrameIntervals = False
587.1146 	EXP 	response: autoDraw = True
604.7980 	EXP 	window1: recordFrameIntervals = False
604.7988 	DATA 	Keypress: s
604.8004 	EXP 	response: autoDraw = False
604.8006 	EXP 	window1: recordFrameIntervals = False
607.7451 	EXP 	response: autoDraw = True
618.3964 	EXP 	window1: recordFrameIntervals = False
618.3973 	DATA 	Keypress: s
618.3991 	EXP 	response: autoDraw = False
618.3993 	EXP 	window1: recordFrameIntervals = False
621.3433 	EXP 	response: autoDraw = True
623.3121 	EXP 	window1: recordFrameIntervals = False
623.3129 	DATA 	Keypress: s
