stair.thisTrialN,stair.stepSize,stair.intensity,text.started,key_resp.started,key_resp.keys,key_resp.rt,ISI.started,trial_resp.started,response.started,stair.response,trial_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
12,30,220.0,,,,,1.2028799999970943,68.49468629999319,68.49468629999319,1,0.5426279000239447,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
13,30,220.0,,,,,1.2022934000124224,71.56086989998585,71.56086989998585,1,0.32079389999853447,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
14,30,190.0,,,,,1.2025905000045896,74.41095530003076,74.41095530003076,1,0.007523199950810522,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
15,30,190.0,,,,,1.2024928000173531,76.94392450002488,76.94392450002488,1,0.330643399967812,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
16,30,160.0,,,,,1.2022980999900028,79.79347500001313,79.79347500001313,1,0.5399303000303917,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
17,30,160.0,,,,,1.2026508999988437,82.85954309999943,82.85954309999943,1,0.2578810999984853,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
18,30,130.0,,,,,1.2021533999941312,85.64276620000601,85.64276620000601,1,0.2954959999769926,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
19,30,130.0,,,,,1.2015587999485433,88.45936540002003,88.45936540002003,1,3.337837799976114,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
20,30,100.0,,,,,1.2022074999986216,94.32464940001955,94.32464940001955,1,0.5300713999895379,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
21,30,100.0,,,,,1.202797100006137,97.3743470000336,97.3743470000336,0,0.18799289996968582,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
22,30,130.0,,,,,1.2025449000066146,100.09069230000023,100.09069230000023,0,0.492202699999325,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
23,30,160.0,,,,,1.2020605999859981,103.1069875000394,103.1069875000394,0,0.4383687999797985,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
24,30,190.0,,,,,1.2025297999498434,106.0733145000413,106.0733145000413,0,1.28759020002326,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
25,30,220.0,,,,,1.202274799987208,109.8728129999945,109.8728129999945,0,0.3656887999968603,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
26,30,250.0,,,,,1.2028643999947235,112.75621690001572,112.75621690001572,0,2.3335561999701895,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
27,30,280.0,,,,,1.2027570999925956,117.6216662999941,117.6216662999941,0,2.0677659999928437,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
28,30,310.0,,,,,1.2037536000134423,122.22133630001917,122.22133630001917,0,0.4004579000174999,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
29,30,340.0,,,,,1.2024352999869734,125.15400989999762,125.15400989999762,0,0.5273183999815956,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
30,30,370.0,,,,,1.2024936000234447,128.20392210001592,128.20392210001592,1,0.7116124000167474,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
31,30,370.0,,,,,1.20248860004358,131.43686570000136,131.43686570000136,1,0.091857900028117,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
32,30,340.0,,,,,1.2020572000183165,134.05302290001418,134.05302290001418,1,0.22137079999083653,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
33,30,340.0,,,,,1.2040134000126272,136.8026380999945,136.8026380999945,1,8.10383090004325,finalteest,001,2023-02-15_16h22.31.219,Adaptive_staircase_Diar,2022.2.5,59.963182604760206,
,,,,,,,1.2033072999911383,147.43470530002378,147.43470530002378,,,,,,,,,
